Gene,ETOH_DMSO_R1,ETOH_MRTX_R1,Tam_DMSO_R1,Tam_MRTX_R1,ETOH_DMSO_R2,ETOH_MRTX_R2,Tam_DMSO_R2,Tam_MRTX_R2
Gm26984,0,0,1.530203421,2.77630642,0,0,0,0
Gm27002,4.180539918,4.57430378,4.16947533,2.77630642,3.512702516,3.681962772,4.312562184,2.178242633
Gm27003,5.620186307,6.176381364,6.487815659,6.784215296,5.729792332,6.320071531,6.434171724,6.534131553
Gm27010,5.095715428,5.420980522,4.243251938,4.609036562,4.914494415,4.735606811,4.845532959,4.41106072
Gm27011,0,0,2.736560896,5.212605428,2.368909375,2.305928457,3.132616228,4.632304753
Gm27017,2.892361419,1.94595129,3.096441072,2.968297496,2.633868519,2.568292345,3.304550997,2.434968089
Gm27018,2.401420696,1.94595129,2.516182617,1.560871642,2.857634183,2.982491259,2.114401213,1.865726534
Gm27028,4.679681785,4.630773111,5.007033214,4.053334092,4.225228331,4.788047569,4.390985108,4.219563117
Gm27029,3.257985693,3.740133422,3.247501513,3.873049614,3.754514997,4.068621226,3.304550997,3.009353972
Gm27042,2.667674102,2.264203111,1.938247551,2.554785542,2.633868519,2.982491259,1.077266385,2.842080403
Gm27184,0,2.264203111,1.938247551,2.554785542,1.029542097,2.568292345,2.114401213,2.652837165
Gm27219,2.667674102,3.633625333,4.313438592,4.357777476,4.377550547,3.681962772,4.603520614,2.652837165
Gm27232,2.074650594,2.74541698,3.096441072,4.053334092,2.044089349,3.152136624,3.132616228,3.294995241
Gm27241,2.401420696,2.524781453,3.096441072,3.666974962,2.044089349,2.790205635,1.077266385,2.652837165
Gm27616,3.411056229,1.94595129,3.247501513,2.292970411,2.368909375,2.568292345,3.132616228,1.865726534
Gm2788,4.092724932,3.633625333,4.243251938,3.137713623,3.961555469,3.566614686,3.72359965,3.419073943
Gm2792,1.651506794,2.74541698,1.530203421,1.560871642,1.029542097,1.985005555,2.114401213,2.178242633
Gm28035,1.050193754,0.964193439,0,2.77630642,2.044089349,0.990021039,1.687091337,0.911886927
Gm28036,1.651506794,1.537020172,2.255963294,1.560871642,1.624219046,1.985005555,3.132616228,3.159232406
Gm28041,2.401420696,2.936742981,2.516182617,2.292970411,2.857634183,1.571641822,1.687091337,1.466240516
Gm28043,3.675690319,2.74541698,3.384233317,3.773688629,3.512702516,3.566614686,2.443642934,3.53332125
Gm28044,2.667674102,3.1056412,2.255963294,1.560871642,0,0.990021039,2.443642934,0.911886927
Gm2805,2.667674102,2.936742981,2.736560896,3.42647974,2.633868519,0.990021039,2.937383043,3.53332125
Gm28055,1.651506794,0.964193439,2.736560896,2.292970411,0,2.568292345,2.443642934,3.53332125
Gm2808,3.549432527,1.537020172,3.922387411,2.554785542,1.624219046,1.985005555,2.711532574,3.63918141
Gm2810,3.086725277,3.25682234,2.927693521,2.77630642,3.222033221,3.152136624,3.45815989,3.009353972
Gm28151,5.878323877,5.882870983,5.699972749,6.455972519,5.729792332,6.046362734,5.468952542,5.908352215
Gm28229,4.738734904,4.884069139,3.922387411,4.964859109,5.78532989,5.887199248,5.100179829,4.350009503
Gm28231,2.401420696,2.74541698,4.380368515,5.009218456,3.374675903,2.982491259,4.845532959,5.465769876
Gm2830,5.878323877,5.483646022,4.964040444,4.964859109,5.41464462,5.624232049,4.667934831,5.281872698
Gm28321,1.050193754,0.964193439,2.255963294,2.77630642,2.368909375,0,1.077266385,0.911886927
Gm28340,3.086725277,1.94595129,1.938247551,0.981969675,1.029542097,0.990021039,1.077266385,0.911886927
Gm28364,2.401420696,2.936742981,0.959126774,2.968297496,2.368909375,2.305928457,1.077266385,0
Gm28373,9.915577594,7.249868405,4.009537519,4.135676331,7.267557385,5.911040481,3.94770773,3.419073943
Gm28386,3.411056229,4.515533794,4.444330582,5.134656606,3.754514997,4.934819288,4.788728556,4.868299167
Gm28417,3.086725277,3.25682234,2.255963294,1.9728693,3.374675903,3.152136624,2.711532574,1.865726534
Gm28424,4.486467174,4.323330428,4.964040444,4.77237795,4.963469991,4.624635221,4.465363955,4.682693114
Gm28437,8.791956245,8.127400831,8.326703712,9.105883256,8.748350551,9.005150844,8.689378455,9.013127998
Gm28438,6.57336087,6.213830993,6.108055231,7.173412806,6.890878485,7.189562197,6.470743494,6.917487194
Gm28439,6.770189491,6.371273686,7.203011063,7.439651029,6.612470298,7.00249551,7.138162316,7.658090646
Gm28497,2.667674102,1.94595129,2.255963294,2.968297496,2.044089349,3.303915968,3.72359965,2.842080403
Gm28512,0,1.537020172,2.516182617,1.9728693,3.222033221,2.305928457,2.114401213,2.434968089
Gm28529,4.415849969,4.97412177,5.619142202,6.173661047,5.266394682,5.228430702,5.732584179,5.703966543
Gm28530,5.797303689,4.97412177,3.730501544,3.966006149,5.378985724,4.373250014,4.229630007,3.916866015
Gm28535,4.618107928,4.019306936,2.927693521,2.77630642,4.303398811,3.441236399,3.132616228,3.159232406
Gm28557,5.418240879,5.513986738,5.167234022,5.250055353,5.378985724,5.595093932,5.39476331,4.731380815
Gm28592,5.265972325,4.884069139,4.675107557,4.66556361,5.266394682,4.440320587,5.356187179,4.778478916
Gm28661,9.183332427,8.722058896,8.746972059,9.387930937,9.396024683,9.495699962,9.020663241,9.454908473
Gm28707,0,1.537020172,0.959126774,2.292970411,1.624219046,2.790205635,1.077266385,2.178242633
Gm28719,2.074650594,2.264203111,2.516182617,4.213571538,1.624219046,2.982491259,3.304550997,3.916866015
Gm28778,2.074650594,0.964193439,1.530203421,1.9728693,1.624219046,0,1.077266385,2.652837165
Gm28802,0,0.964193439,3.384233317,0,1.029542097,1.571641822,0,1.865726534
Gm28806,1.050193754,1.94595129,3.247501513,3.137713623,0,0.990021039,2.937383043,3.419073943
Gm28809,2.074650594,2.524781453,4.313438592,3.873049614,3.222033221,2.568292345,4.229630007,4.076138795
Gm2885,0,0.964193439,2.255963294,3.137713623,2.044089349,2.305928457,2.443642934,2.178242633
Gm28856,2.401420696,3.633625333,3.829632355,3.666974962,1.624219046,2.790205635,4.229630007,4.580092609
Gm28857,2.667674102,3.1056412,3.730501544,2.554785542,3.222033221,2.790205635,3.304550997,3.294995241
Gm28874,2.074650594,3.1056412,2.927693521,2.968297496,1.624219046,2.982491259,1.687091337,3.63918141
Gm28911,4.180539918,3.1056412,2.516182617,3.289309488,3.861746085,3.303915968,2.443642934,3.53332125
Gm28940,3.549432527,3.1056412,5.048781774,3.289309488,2.368909375,2.982491259,4.788728556,4.350009503
Gm28941,1.651506794,2.264203111,2.736560896,1.9728693,0,0,2.443642934,3.159232406
Gm2895,7.57389712,7.362533617,6.763293909,5.052254449,8.639542289,7.856575335,6.863487007,5.214967731
Gm29008,5.588431293,5.543702492,5.776513831,5.895050813,5.672030922,5.708273489,5.762392451,6.049442383
Gm29036,0,2.74541698,2.255963294,2.292970411,2.368909375,0.990021039,3.72359965,0.911886927
Gm29084,1.651506794,2.264203111,2.927693521,2.554785542,2.044089349,0,3.304550997,1.865726534
Gm29093,4.092724932,4.179312381,4.313438592,3.42647974,3.961555469,3.981232466,4.603520614,4.149632523
Gm29103,3.086725277,2.264203111,2.736560896,1.9728693,2.633868519,1.985005555,2.711532574,3.294995241
Gm29107,1.651506794,2.524781453,2.927693521,3.666974962,3.374675903,3.441236399,1.687091337,3.009353972
Gm29156,2.074650594,0.964193439,1.530203421,1.9728693,3.051308336,1.985005555,2.443642934,1.466240516
Gm29170,4.263315024,3.25682234,5.167234022,4.871826203,5.010837422,4.68118774,4.536095438,4.219563117
Gm29216,8.921856369,8.415522721,8.010131526,8.548769355,8.772600411,8.701119551,8.177962093,8.698035176
Gm29257,4.618107928,3.932116692,4.16947533,4.053334092,4.303398811,4.373250014,4.141638214,2.842080403
Gm29284,2.667674102,2.936742981,3.624053349,1.9728693,2.633868519,2.568292345,3.596975923,3.63918141
Gm29290,0,1.94595129,2.255963294,1.9728693,1.029542097,0,0,2.842080403
Gm29292,0,0,1.530203421,2.968297496,0,0,2.711532574,3.159232406
Gm29340,4.263315024,5.286840491,6.487815659,6.051714325,5.580806677,5.338016374,6.030821246,6.263211125
Gm29361,0,2.264203111,1.938247551,2.968297496,1.029542097,1.985005555,2.114401213,2.434968089
Gm29394,3.899224286,3.25682234,2.736560896,2.292970411,2.857634183,3.152136624,2.711532574,2.434968089
Gm29397,3.086725277,2.264203111,3.624053349,2.292970411,2.044089349,1.571641822,3.132616228,3.419073943
Gm29438,2.074650594,1.537020172,3.247501513,0.981969675,1.029542097,0.990021039,3.304550997,2.178242633
Gm29491,0,2.74541698,1.938247551,3.873049614,0,1.985005555,2.443642934,4.219563117
Gm29560,2.401420696,1.94595129,2.255963294,1.560871642,3.222033221,3.441236399,2.443642934,1.466240516
Gm29609,2.074650594,2.936742981,2.927693521,3.289309488,2.857634183,1.985005555,3.304550997,2.842080403
Gm2962,4.341597482,4.323330428,4.243251938,4.213571538,4.225228331,4.68118774,4.312562184,4.952853574
Gm29630,1.050193754,2.74541698,1.530203421,0,1.624219046,0.990021039,1.687091337,0.911886927
Gm29642,2.074650594,1.537020172,2.516182617,3.42647974,2.633868519,2.568292345,2.937383043,4.076138795
Gm29666,5.769253294,5.972996144,5.204651212,5.134656606,6.123724771,5.934494123,5.606781859,4.632304753
Gm29668,4.618107928,3.25682234,2.516182617,1.9728693,3.512702516,3.681962772,2.114401213,3.159232406
Gm29677,0,0,1.530203421,1.9728693,0,0,2.937383043,2.178242633
Gm29688,2.401420696,0.964193439,1.938247551,0,3.512702516,3.303915968,1.687091337,0
Gm29695,6.141647691,6.137933649,6.532642403,5.322159203,5.890375402,5.024977687,6.90416686,5.576514623
Gm29718,2.074650594,1.94595129,1.530203421,1.9728693,3.051308336,1.985005555,1.077266385,0.911886927
Gm29724,2.892361419,3.393653009,2.255963294,2.77630642,1.029542097,1.985005555,2.711532574,2.652837165
Gm29739,3.086725277,2.524781453,0,0,3.222033221,1.985005555,2.443642934,1.865726534
Gm29761,0,0,2.736560896,1.9728693,0,0.990021039,1.687091337,1.466240516
Gm29770,3.549432527,2.936742981,4.444330582,3.873049614,3.754514997,3.441236399,4.141638214,3.159232406
Gm29787,2.401420696,2.264203111,3.509120784,2.77630642,2.044089349,1.571641822,2.711532574,2.434968089
Gm29797,2.074650594,0.964193439,0.959126774,3.137713623,2.044089349,0.990021039,2.443642934,2.178242633
Gm2981,3.257985693,2.524781453,2.736560896,2.77630642,2.857634183,3.152136624,2.937383043,3.009353972
Gm29856,5.30557244,4.454267698,2.736560896,1.9728693,5.056698968,4.565775125,1.077266385,0
Gm2986,2.401420696,2.264203111,3.247501513,1.560871642,0,1.985005555,0,2.434968089
Gm2991,3.549432527,4.179312381,3.247501513,3.42647974,4.225228331,3.566614686,3.596975923,3.916866015
Gm2999,3.411056229,2.936742981,2.255963294,1.9728693,3.512702516,3.441236399,2.443642934,1.865726534
Gm2a,9.336946524,9.233654706,8.874335512,8.69850704,8.64705712,8.393659642,9.086950183,9.049584067
Gm30025,7.185460945,6.928056484,5.751448646,6.390403164,6.976880807,6.787507548,5.606781859,6.3899358
Gm30042,2.667674102,2.936742981,4.313438592,4.135676331,4.303398811,2.790205635,4.900185226,4.219563117
Gm30054,6.326245879,6.118318601,4.091721638,3.873049614,5.580806677,4.934819288,4.047929096,4.076138795
Gm30082,2.074650594,1.537020172,2.736560896,3.289309488,2.044089349,2.305928457,2.114401213,3.63918141
Gm30108,4.902643516,4.737484369,4.564328613,4.77237795,5.226823237,4.887535249,4.788728556,4.868299167
Gm30122,0,0.964193439,2.516182617,3.666974962,0,0.990021039,3.596975923,3.63918141
Gm30124,6.96824885,6.572075302,6.487815659,6.008661973,6.903482896,6.887031219,6.377514762,6.327964434
